,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
massachusetts,"68,11,779","65,47,813",4.00%,"65,47,629",5.30%,5.60%,20.20%,21.70%,15.80%,13.80%,51.50%,51.60%,81.80%,8.60%,0.50%,6.70%,0.10%,2.30%,11.50%,73.00%,"3,55,083",15.50%,"28,58,026","28,08,254",62.10%,"$333,100 ","$2,063 ",$717 ,"$1,102 ","16,288","25,49,721",2.53,87.10%,22.50%,89.80%,40.50%,7.90%,2.90%,67.50%,63.40%,"1,75,08,975","6,35,83,090","8,19,27,799","12,39,04,370","9,29,15,380","$13,980 ",28.7,"$68,563 ","$36,895 ",10.40%,"1,75,225","31,67,329","19,80,26,611",2.60%,"5,14,298","6,07,664","3,57,158","1,99,210","89,967","4,99,959","58,339","5,25,667",839.4,"7,800.06","""25"""
michigan,"99,28,300","98,84,129",0.40%,"98,83,640",5.80%,6.00%,22.10%,23.70%,16.20%,13.80%,50.80%,50.90%,79.60%,14.20%,0.70%,3.10%,Z,2.40%,5.00%,75.40%,"6,26,722",6.30%,"45,60,055","45,32,233",71.00%,"$122,400 ","$1,257 ",$461 ,$783 ,"20,408","38,41,148",2.52,85.30%,9.20%,89.60%,26.90%,10.30%,6.30%,61.20%,57.10%,"1,79,62,356","6,30,18,786","23,88,92,383","11,57,04,903","11,93,02,046","$12,071 ",24.2,"$49,576 ","$26,607 ",15.00%,"2,19,627","37,25,280","17,48,73,962",3.20%,"7,00,254","8,34,087","4,46,128","3,06,986","1,58,946","6,57,237","71,861","7,33,517",174.8,"56,538.90","""26"""
minnesota,"55,19,952","53,03,924",4.10%,"53,03,925",6.40%,6.70%,23.30%,24.20%,15.10%,12.90%,50.20%,50.40%,85.00%,6.20%,1.30%,4.90%,0.10%,2.40%,5.20%,80.60%,"3,42,388",7.70%,"24,09,935","23,47,201",71.70%,"$186,200 ","$1,490 ",$479 ,$848 ,"21,449","21,24,745",2.49,85.50%,11.00%,92.40%,33.70%,7.10%,4.80%,70.00%,66.20%,"1,17,22,627","4,04,03,572","12,30,76,309","10,44,85,117","7,88,98,182","$14,667 ",23.1,"$61,492 ","$32,157 ",9.90%,"1,48,666","26,12,314","13,30,92,716",1.80%,"3,97,378","4,89,494","2,68,710","1,57,821","47,302","4,28,716","45,582","4,19,628",66.6,"79,626.74","""27"""
mississippi,"29,88,726","29,68,103",0.70%,"29,67,297",6.30%,7.10%,24.10%,25.50%,15.10%,12.80%,51.50%,51.40%,59.30%,37.70%,0.60%,1.10%,0.10%,1.20%,3.10%,56.90%,"1,84,774",2.30%,"13,07,441","12,74,719",68.40%,"$103,100 ","$1,077 ",$341 ,$717 ,"6,886","10,96,593",2.64,86.10%,3.90%,82.30%,20.70%,11.90%,13.90%,57.50%,53.70%,"69,99,175","1,66,30,587","6,64,41,608","2,83,02,952","3,70,53,190","$12,413 ",24.1,"$39,665 ","$21,057 ",20.80%,"58,662","9,26,391","3,39,48,151",1.60%,"2,11,955","2,35,454","1,25,079","89,159","74,824","1,55,094","26,789","1,98,566",63.2,"46,923.27","""28"""
missouri,"60,93,000","59,88,928",1.70%,"59,88,927",6.10%,6.50%,22.80%,23.80%,16.10%,14.00%,50.90%,51.00%,83.20%,11.80%,0.60%,2.00%,0.10%,2.20%,4.10%,79.70%,"4,51,342",3.90%,"27,60,084","27,12,729",67.20%,"$138,400 ","$1,210 ",$402 ,$746 ,"18,997","23,64,688",2.48,83.90%,6.00%,88.40%,27.10%,10.40%,10.50%,63.20%,59.30%,"1,24,30,310","4,00,89,316","11,15,35,362","9,19,16,351","9,05,46,581","$15,036 ",23.2,"$48,173 ","$26,259 ",14.00%,"1,58,191","24,42,316","10,91,35,528",1.60%,"4,02,091","4,91,606","2,57,948","1,62,616","61,035","4,15,972","49,217","4,15,542",87.1,"68,741.52","""29"""
montana,"10,42,520","9,89,414",5.40%,"9,89,415",6.00%,6.30%,21.80%,22.60%,17.70%,14.80%,49.70%,49.80%,89.20%,0.60%,6.60%,0.80%,0.10%,2.70%,3.60%,86.50%,"90,000",2.10%,"4,97,756","4,82,825",67.20%,"$193,500 ","$1,294 ",$387 ,$711 ,"4,781","4,09,394",2.41,83.60%,4.10%,92.80%,29.50%,9.10%,9.80%,63.60%,59.50%,"24,20,455","64,69,475","1,15,35,236","1,26,45,824","1,56,23,573","$15,544 ",18.1,"$47,169 ","$26,381 ",13.30%,"37,270","3,75,041","1,42,27,065",3.10%,"86,969","1,12,419","55,913","35,449","5,578","1,02,746","11,486","93,393",6.8,"1,45,545.80","""30"""
nebraska,"19,07,116","18,26,334",4.40%,"18,26,341",7.00%,7.20%,24.80%,25.10%,15.00%,13.50%,50.20%,50.40%,88.90%,5.00%,1.40%,2.50%,0.10%,2.10%,10.70%,79.60%,"1,32,918",6.60%,"8,27,156","7,96,793",66.20%,"$133,200 ","$1,270 ",$471 ,$726 ,"8,078","7,36,613",2.47,83.70%,10.80%,90.70%,29.30%,7.30%,9.90%,69.90%,65.20%,"30,94,498","1,28,69,418","5,74,99,177","4,26,18,995","3,04,70,717","$16,422 ",18.3,"$52,997 ","$27,882 ",11.40%,"53,719","8,70,279","3,69,67,924",2.30%,"1,31,518","1,64,089","83,696","51,936","14,571","1,44,122","16,693","1,37,254",23.8,"76,824.17","""31"""
nevada,"29,40,058","27,00,691",8.90%,"27,00,551",6.30%,6.90%,23.00%,24.60%,15.00%,12.00%,49.90%,49.50%,75.10%,9.60%,1.60%,8.70%,0.80%,4.20%,28.50%,49.90%,"2,20,332",19.20%,"12,21,698","11,73,814",55.10%,"$173,700 ","$1,442 ",$410 ,$973 ,"17,952","10,16,709",2.72,78.80%,30.00%,85.10%,23.00%,9.00%,13.10%,64.00%,59.30%,"2,74,81,505","1,39,28,514","1,47,19,141","1,98,41,701","3,82,34,170","$13,858 ",23.9,"$51,847 ","$26,541 ",13.80%,"63,383","11,29,965","4,65,95,673",3.70%,"2,05,980","2,27,156","1,14,057","82,508","71,864","1,44,944","23,049","1,91,293",24.6,"1,09,781.18","""32"""
new_hampshire,"13,34,795","13,16,461",1.40%,"13,16,470",4.80%,5.30%,19.50%,21.80%,17.00%,13.50%,50.50%,50.70%,93.80%,1.50%,0.30%,2.70%,0.10%,1.70%,3.50%,90.80%,"1,06,827",5.70%,"6,25,307","6,14,754",71.00%,"$237,300 ","$1,870 ",$747 ,"$1,000 ","3,796","5,20,251",2.47,86.50%,7.90%,92.30%,34.90%,8.50%,7.10%,68.20%,63.80%,"29,42,278","96,16,460","1,88,95,624","1,80,29,179","2,60,18,201","$19,700 ",26.9,"$66,779 ","$34,362 ",7.30%,"37,669","5,76,424","2,80,76,320",2.30%,"1,04,437","1,31,638","76,716","38,525","6,111","1,21,297","16,119","1,08,817",147,"8,952.65","""33"""
new_jersey,"89,44,469","87,91,953",1.70%,"87,91,894",5.80%,6.20%,22.20%,23.50%,15.30%,13.50%,51.20%,51.30%,72.40%,15.00%,0.60%,9.80%,0.10%,2.20%,20.00%,55.80%,"3,93,277",21.70%,"36,04,409","35,53,562",64.50%,"$315,900 ","$2,386 ",$973 ,"$1,192 ","26,793","31,89,486",2.73,90.20%,30.50%,88.60%,36.80%,6.60%,9.20%,65.90%,60.60%,"1,96,73,558","6,03,75,232","10,88,54,971","28,84,67,844","13,36,65,728","$15,079 ",31,"$72,093 ","$36,582 ",10.40%,"2,30,961","35,58,619","20,90,72,015",0.90%,"6,70,765","7,92,088","4,64,592","2,52,944","2,37,242","5,33,808","57,996","7,07,975","1,195.50","7,354.22","""34"""
new_mexico,2081015,2059198,0.011,2059179,0.062,0.07,0.236,0.252,0.165,0.132,0.505,0.506,0.826,0.025,0.106,0.017,0.002,0.025,0.485,0.381,164157,0.098,917568,901388,0.681,160300,1227,327,777,4863,763603,2.67,0.857,0.357,0.842,0.263,0.101,0.108,0.591,0.549,4349672,11236630,29102352,10720363,25179274,12073,21.6,44963,24012,0.198,43793,626284,25145307,0.039,121279,151363,71132,59044,60622,83857,14096,128693,17,121298.15,"""35"""
new_york,19745289,19378110,0.019,19378102,0.059,0.06,0.212,0.223,0.154,0.135,0.514,0.516,0.699,0.177,0.01,0.089,0.001,0.025,0.19,0.558,828586,0.225,8231687,8108103,0.536,283400,2022,709,1132,33711,7262279,2.63,0.891,0.304,0.856,0.342,0.074,0.07,0.633,0.587,49285508,155666053,148879931,341734970,251167736,12834,32.3,59269,33236,0.147,540298,7998994,513083321,0.018,1685636,2008988,1139910,725709,709021,1248304,137532,1811544,411.2,47126.4,"""36"""
north_carolina,10146788,9535688,0.064,9535483,0.06,0.066,0.227,0.239,0.155,0.129,0.514,0.513,0.71,0.222,0.016,0.029,0.001,0.022,0.092,0.635,696119,0.077,4540498,4327528,0.651,154900,1248,373,797,60550,3775581,2.54,0.847,0.112,0.858,0.284,0.096,0.122,0.618,0.577,18622258,55227505,202344646,105275586,120691007,12376,23.9,46868,25920,0.154,223209,3670284,164936258,0.031,722639,805985,435677,287058,183380,603182,86571,684743,196.1,48617.91,"""37"""
north_dakota,757952,672591,0.127,672591,0.073,0.066,0.233,0.223,0.145,0.145,0.487,0.495,0.879,0.029,0.055,0.015,0.001,0.021,0.036,0.85,51179,0.032,368624,317498,0.641,153800,1243,423,709,3981,299638,2.32,0.822,0.056,0.917,0.277,0.068,0.081,0.693,0.65,2045123,5418355,14427360,28150837,15519816,22183,17.2,57181,32035,0.107,24848,365893,17184756,0.014,53263,68270,37016,20316,3190,62271,6584,56904,9.7,69000.8,"""38"""
ohio,11614373,11536727,0.007,11536504,0.06,0.062,0.225,0.237,0.162,0.141,0.51,0.512,0.825,0.128,0.003,0.022,0.001,0.022,0.037,0.795,806531,0.041,5164361,5127508,0.663,129900,1246,444,730,22816,4585084,2.46,0.853,0.067,0.891,0.261,0.099,0.066,0.633,0.59,20652777,80915693,313629976,155426023,153553997,13301,23.2,49429,26953,0.146,251668,4719985,213161303,0.018,763418,904814,510078,306824,122653,759569,91316,776193,282.3,40860.69,"""39"""
oklahoma,3923561,3751615,0.046,3751351,0.068,0.07,0.245,0.248,0.15,0.135,0.505,0.505,0.746,0.078,0.092,0.022,0.002,0.061,0.103,0.662,295847,0.058,1721045,1664378,0.661,117900,1147,370,727,12092,1455321,2.57,0.826,0.098,0.869,0.241,0.113,0.161,0.611,0.557,7121153,22795438,74295394,71892946,50256231,13174,21.3,46879,25032,0.163,93093,1370988,59124620,0.008,276218,327229,174395,105168,64875,249027,36273,273491,54.7,68594.92,"""40"""
oregon,4093465,3831072,0.068,3831074,0.058,0.062,0.212,0.226,0.168,0.139,0.505,0.505,0.874,0.021,0.018,0.045,0.004,0.038,0.128,0.764,306723,0.099,1732786,1675562,0.613,237300,1557,469,907,19586,1533430,2.51,0.819,0.151,0.898,0.308,0.102,0.073,0.621,0.576,8466788,24956816,51349948,48325261,49481054,12690,22.9,51243,27684,0.133,112393,1498727,71006598,0.038,278839,339305,165691,123015,41456,285028,30918,288790,39.9,95988.01,"""41"""
pennsylvania,12784227,12702857,0.006,12702379,0.056,0.057,0.209,0.22,0.174,0.154,0.51,0.513,0.824,0.118,0.004,0.035,0.001,0.019,0.07,0.77,870770,0.063,5612002,5567315,0.692,166000,1425,498,840,23303,4958859,2.49,0.88,0.106,0.892,0.286,0.095,0.067,0.628,0.583,23504192,96329248,231396178,191170147,178794945,14008,26.3,53599,29291,0.129,299695,5306896,257626942,0.01,811890,975453,579400,304803,131512,818858,97969,837792,283.9,44742.7,"""42"""
rhode_island,1056426,1052940,0.003,1052567,0.052,0.055,0.197,0.213,0.165,0.144,0.514,0.517,0.844,0.081,0.01,0.036,0.002,0.027,0.149,0.733,66076,0.133,462589,463388,0.601,238000,1815,682,925,1226,410602,2.46,0.866,0.214,0.862,0.319,0.089,0.051,0.655,0.616,2481314,8223005,11262158,22310389,12063865,11486,24.2,56852,31118,0.128,28387,425748,19704826,0.01,76747,94642,54651,30484,14737,77042,9904,79837,1018.1,1033.81,"""44"""
south_carolina,4961119,4625410,0.073,4625364,0.059,0.065,0.221,0.234,0.167,0.137,0.515,0.514,0.685,0.275,0.005,0.016,0.001,0.018,0.055,0.639,378959,0.048,2236153,2137683,0.686,139900,1183,347,790,32165,1815094,2.56,0.847,0.069,0.856,0.258,0.103,0.119,0.601,0.562,9763818,22941292,99160840,45520900,58093824,12298,23.9,45483,24604,0.153,103973,1662251,66120263,0.028,329431,367726,202446,131856,83233,276269,47987,303137,153.9,30060.7,"""45"""
south_dakota,865454,814195,0.063,814180,0.071,0.073,0.246,0.249,0.16,0.143,0.496,0.5,0.852,0.02,0.09,0.015,0.001,0.023,0.037,0.825,63742,0.03,383838,363438,0.681,140500,1210,433,655,5686,330858,2.45,0.834,0.065,0.909,0.27,0.084,0.103,0.686,0.646,1873699,6211731,16882647,20411059,13791827,16550,16.9,50957,26747,0.133,26511,353540,13812997,0.016,64006,81314,42418,23722,4101,74228,8604,66219,10.7,75811,"""46"""
tennessee,6651194,6346298,0.048,6346105,0.061,0.064,0.226,0.236,0.157,0.134,0.512,0.513,0.787,0.171,0.004,0.018,0.001,0.019,0.052,0.742,462414,0.048,2919671,2812133,0.668,142100,1181,359,764,36157,2504556,2.53,0.847,0.069,0.855,0.249,0.112,0.106,0.61,0.563,12499013,42383683,139960482,111718421,91641605,14194,24.5,45219,25227,0.158,133344,2507205,110481280,0.022,495703,550453,302249,195694,105234,434025,59379,469392,153.9,41234.9,"""47"""
texas,"2,78,62,596","2,51,46,100",10.80%,"2,51,45,561",7.20%,7.70%,26.20%,27.30%,12.00%,10.30%,50.40%,50.40%,79.40%,12.60%,1.00%,4.80%,0.10%,1.90%,39.10%,42.60%,"15,39,655",16.60%,"1,07,53,629","99,77,436",62.20%,"$136,000 ","$1,432 ",$460 ,$882 ,"1,65,853","91,49,196",2.84,83.30%,35.00%,81.90%,27.60%,8.10%,18.60%,64.30%,57.70%,"5,44,80,811","14,50,35,130","70,26,03,073","69,12,42,607","35,61,16,376","$13,666 ",25.6,"$53,207 ","$26,999 ",15.60%,"5,69,091","1,02,39,710","52,10,95,797",3.20%,"22,05,149","23,56,748","12,51,696","8,66,678","10,70,392","12,24,845","2,13,590","20,57,218",96.3,"2,61,231.71","""48"""
utah,"30,51,217","27,63,888",10.40%,"27,63,885",8.30%,9.50%,30.20%,31.50%,10.50%,9.00%,49.70%,49.80%,91.10%,1.40%,1.60%,2.50%,1.00%,2.50%,13.80%,78.80%,"1,34,332",8.40%,"10,54,164","9,79,709",69.50%,"$215,900 ","$1,428 ",$388 ,$887 ,"22,662","9,06,292",3.15,82.90%,14.70%,91.20%,31.10%,6.60%,9.70%,67.70%,59.50%,"47,89,281","1,45,21,857","5,00,46,429","3,09,27,885","3,80,24,486","$13,317 ",21.6,"$60,727 ","$24,686 ",10.20%,"75,463","12,03,954","5,14,53,266",4.90%,"2,16,280","2,51,419","1,32,163","76,269","24,423","2,18,826","18,754","2,19,807",33.6,"82,169.62","""49"""
vermont,"6,24,594","6,25,741",-0.20%,"6,25,741",4.90%,5.10%,19.00%,20.70%,18.10%,14.60%,50.60%,50.70%,94.60%,1.30%,0.40%,1.80%,Z,1.90%,1.90%,93.10%,"44,708",4.30%,"3,29,525","3,22,539",71.00%,"$217,500 ","$1,535 ",$641 ,$895 ,"1,771","2,57,167",2.34,86.50%,5.40%,91.80%,36.00%,10.00%,4.50%,66.60%,63.60%,"15,64,272","44,57,996","93,15,494","64,50,076","99,33,751","$15,868 ",22.5,"$55,176 ","$29,894 ",11.90%,"21,121","2,66,363","1,06,15,093",2.00%,"60,312","75,827","41,270","23,417","2,354","70,491","8,237","63,317",67.9,"9,216.66","""50"""
virginia,"84,11,808","80,01,041",5.10%,"80,01,024",6.10%,6.40%,22.20%,23.20%,14.60%,12.20%,50.80%,50.90%,70.00%,19.80%,0.50%,6.60%,0.10%,2.90%,9.10%,62.40%,"7,06,539",11.70%,"34,91,054","33,64,939",66.20%,"$245,000 ","$1,711 ",$433 ,"$1,116 ","31,132","30,62,783",2.62,84.40%,15.40%,88.30%,36.30%,7.70%,10.10%,64.70%,60.80%,"1,77,95,901","4,77,05,003","9,63,89,872","8,66,13,641","11,00,02,385","$13,438 ",27.9,"$65,015 ","$34,152 ",11.00%,"1,97,384","31,98,718","16,57,88,897",1.20%,"5,76,446","6,53,193","3,53,012","2,36,290","1,85,043","4,50,109","76,434","5,48,439",202.6,"39,490.09","""51"""
washington,"72,88,000","67,24,545",8.40%,"67,24,540",6.20%,6.50%,22.40%,23.50%,14.80%,12.30%,50.00%,50.20%,80.00%,4.10%,1.90%,8.60%,0.80%,4.60%,12.40%,69.50%,"5,64,864",13.40%,"30,25,685","28,85,677",62.50%,"$259,500 ","$1,731 ",$511 ,"$1,014 ","44,077","26,68,912",2.56,82.50%,18.90%,90.40%,32.90%,8.90%,6.90%,63.50%,58.50%,"1,42,97,278","4,39,66,889","13,15,30,601","8,33,13,366","11,89,24,049","$17,243 ",26.3,"$61,062 ","$31,762 ",11.30%,"1,82,913","26,02,408","14,92,58,789",2.90%,"4,44,135","5,41,522","2,62,650","1,87,677","92,807","4,26,697","49,331","4,61,401",101.2,"66,455.52","""53"""
west_virginia,"18,31,102","18,53,011",-1.20%,"18,52,994",5.50%,5.60%,20.50%,20.90%,18.80%,16.00%,50.50%,50.70%,93.60%,3.60%,0.20%,0.80%,Z,1.70%,1.50%,92.30%,"1,50,021",1.50%,"8,86,640","8,81,917",72.50%,"$103,800 ",$966 ,$293 ,$643 ,"2,544","7,40,890",2.43,88.20%,2.50%,85.00%,19.20%,14.40%,6.50%,53.90%,49.20%,"40,36,333","1,22,59,395","2,45,53,072","1,42,95,437","2,26,37,923","$12,201 ",25.6,"$41,751 ","$23,450 ",17.90%,"36,993","5,65,435","2,21,59,084",-1.70%,"88,136","1,14,435","63,112","39,065","5,777","1,04,785","12,912","94,960",77.1,"24,038.21","""54"""
wisconsin,"57,78,708","56,87,289",1.60%,"56,86,986",5.80%,6.30%,22.30%,23.60%,16.10%,13.70%,50.30%,50.40%,87.50%,6.60%,1.10%,2.80%,0.10%,1.90%,6.70%,81.70%,"3,81,940",4.80%,"26,68,444","26,24,358",67.30%,"$165,800 ","$1,402 ",$532 ,$776 ,"19,274","22,99,107",2.43,85.80%,8.70%,91.00%,27.80%,8.20%,6.20%,67.10%,63.50%,"1,03,03,256","4,06,80,625","17,77,28,926","7,70,66,883","7,82,01,822","$13,656 ",21.9,"$53,357 ","$28,340 ",11.80%,"1,39,500","25,03,532","11,24,06,494",2.20%,"3,41,935","4,32,980","2,36,252","1,33,859","40,507","3,79,934","39,830","3,70,755",105,"54,157.80","""55"""
wyoming,"5,85,501","5,63,767",3.90%,"5,63,626",6.50%,7.10%,23.70%,24.00%,15.00%,12.40%,48.90%,49.00%,92.80%,1.30%,2.70%,1.00%,0.10%,2.10%,10.00%,84.10%,"48,505",3.60%,"2,70,600","2,61,868",69.10%,"$194,800 ","$1,348 ",$386 ,$789 ,"1,727","2,26,865",2.49,81.90%,7.10%,92.30%,25.70%,8.50%,13.40%,67.70%,62.70%,"16,44,844","32,91,478","1,07,83,794","55,97,891","94,46,043","$16,388 ",18.3,"$58,840 ","$29,803 ",11.30%,"21,040","2,19,881","1,00,94,010",FN,"48,140","62,427","30,039","19,344","4,077","55,397","6,470","51,353",5.8,"97,093.14","""56"""
